name,position,G,GS,MP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cintia dos Santos,Center,68,31,16.8,1.9,4.3,0.432,0,0,0,1.9,4.3,0.435,1.2,1.6,0.743,0.8,1.7,2.4,0.7,0.3,1.2,1.2,2.6,4.9
Clarissa Dos Santos,Center,51,7,14.3,1.7,3.9,0.425,0,0,0,1.7,3.9,0.427,1,1.3,0.735,1.5,2.2,3.7,0.6,0.5,0.4,0.9,2.1,4.3
Katie Douglas,Guard-Forward,412,387,30.7,4.7,11.3,0.415,1.8,4.8,0.367,2.9,6.5,0.45,2.4,3,0.805,1.1,2.7,3.8,2.6,1.5,0.3,2,1.7,13.5
Jelena Dubljevic,Forward,15,0,5.3,0.6,1.5,0.409,0.1,0.2,0.333,0.5,1.3,0.421,0.2,0.2,1,0.1,0.7,0.9,0.5,0.1,0.1,0.5,0.7,1.5
Megan Duffy,Guard,42,0,11.5,0.9,2.5,0.336,0.3,1.2,0.286,0.5,1.4,0.379,0.9,1.2,0.755,0.3,0.6,0.9,1.1,0.2,0,0.8,1.2,2.9
Celine Dumerc,Guard,28,11,18.8,1,3.4,0.295,0.4,1.9,0.231,0.6,1.5,0.372,0.9,1.3,0.694,0.6,1.4,2,4,1.1,0.1,2.1,1.9,3.3
Victoria Dunlap,Forward,31,3,8,0.9,2.2,0.418,0,0.1,0.333,0.9,2.1,0.422,0.5,0.9,0.556,0.8,1,1.7,0.4,0.6,0.2,0.6,0.7,2.3
Candice Dupree,Forward,412,408,31.5,6,12,0.501,0.1,0.2,0.274,6,11.8,0.505,2.6,3.2,0.819,1.7,5,6.7,1.8,0.9,0.7,1.9,1.9,14.7
Margo Dydek,Center,323,301,24.4,3.7,8,0.467,0.1,0.2,0.295,3.7,7.8,0.472,2.4,3,0.791,1.1,5.5,6.6,1.6,0.5,2.7,2.3,2.9,10
Michelle Edwards,Guard,100,64,23.9,2.9,7.3,0.392,0.4,1.6,0.232,2.5,5.7,0.439,1.5,2.4,0.613,0.3,2,2.3,2.8,1,0.2,2.4,1.7,7.6
Simone Edwards,Center,178,48,17.9,2,4.3,0.478,0,0,1,2,4.3,0.477,1.2,1.8,0.647,1.3,2.2,3.5,0.5,0.5,0.3,1,1.5,5.3
Teresa Edwards,Guard-Forward,68,68,22.8,2,5.4,0.372,0.7,2.4,0.297,1.3,3,0.433,0.8,1,0.743,0.8,2.1,2.9,3.3,1.3,0.3,2.7,1.4,5.5
Tonya Edwards,Guard,125,73,22.7,3,8.2,0.362,0.9,2.9,0.322,2,5.3,0.385,2,2.6,0.775,0.5,1.8,2.3,1.7,0.8,0.2,1.7,2.3,9
Aaryn Ellenberg,Guard,2,0,0.5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Shyra Ely-Gash,Forward,173,22,12.6,1.5,3.8,0.38,0.3,0.9,0.32,1.2,3,0.398,0.8,1.2,0.705,0.6,1.7,2.2,0.5,0.3,0.1,0.9,1.4,4
Shalonda Enis,Forward-Center,106,66,23.2,2.6,6.6,0.398,0.6,1.6,0.369,2,5,0.407,1.9,2.5,0.756,1.8,2.4,4.2,0.8,0.7,0.1,1.5,2.3,7.7
Makayla Epps,Guard,17,0,3.8,0.2,1.1,0.167,0,0.3,0,0.2,0.8,0.231,0.3,0.5,0.556,0.1,0.1,0.2,0.4,0.1,0,0.3,0.4,0.6
Summer Erb,Center,78,3,9.8,1.1,2.3,0.48,0,0,0,1.1,2.3,0.483,0.8,1.1,0.719,0.7,1.5,2.2,0.3,0.3,0.3,0.8,2.1,3
